PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,gind_15,gind_20,gind_25,gind_30,gind_35,gind_40,gind_45,gind_50,gind_55,gind_60,y_t+2
10022_2004,-0.06799911435092143,-0.04492361803769227,0.11367249151252967,0.11063572890965404,0.07413053104881287,0.09902094598141636,2.025429522948325,2.3439359141094114,0.2257750642994041,0.17533737012102232,-11.913018343615393,-11.98448550713162,-0.9853251104722884,0.1087199592539166,-0.06187540371808752,0.10436001532424287,0,0,0,0,1,0,0,0,0,0,0.0
10022_2005,-0.04492361803769227,-0.1345760202081791,0.11063572890965404,0.14996443244341856,0.09902094598141636,0.06648955475226109,2.3439359141094114,1.6922930190347918,0.17533737012102232,0.13025774685148786,-11.98448550713162,-12.241939633187801,0.1087199592539166,-0.5209220715561954,0.10436001532424287,-0.07257069283483537,0,0,0,0,1,0,0,0,0,0,0.0
10022_2006,-0.1345760202081791,0.0,0.14996443244341856,0.0,0.06648955475226109,0.0,1.6922930190347918,0.0,0.13025774685148786,0.0,-12.241939633187801,0.0,-0.5209220715561954,0.0,-0.07257069283483537,0.0,0,0,0,0,1,0,0,0,0,0,0.0
10039_2004,0.013282412974651915,0.01011328427301183,0.8623084656058801,0.8368695512886504,0.08109601674205955,0.04880028001368335,1.5275989171271045,1.8998184472787658,0.051326521482122966,0.0501679802137842,-11.784684093342113,-11.687774782578218,0.4151805931090269,0.05850428572790895,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10039_2005,0.01011328427301183,0.009802604759447378,0.8368695512886504,0.8461613814401548,0.04880028001368335,0.031013529412358756,1.8998184472787658,1.8641348641299689,0.0501679802137842,0.034022537077478134,-11.687774782578218,-11.722805913846038,0.05850428572790895,-0.05566758176309153,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10039_2006,0.009802604759447378,0.009328716392206992,0.8461613814401548,0.8764745524529036,0.031013529412358756,0.027305883032318082,1.8641348641299689,1.5779704260895562,0.034022537077478134,0.024684843798184003,-11.722805913846038,-11.83984747256132,-0.05566758176309153,-0.14989437166222958,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10059_2004,0.04788720043095348,0.03770114630488045,0.06905904313293161,0.0331199989140984,0.21619708605289198,0.18495958409968574,2.147016631971581,2.86182053030752,0.12118405949595043,0.14600627865100527,-12.516324336395288,-12.10352737587337,0.2206329559586664,0.4134556939877952,1.9526019943448851,2.6034301519721077,0,0,0,1,0,0,0,0,0,0,0.0
10059_2005,0.03770114630488045,0.0260007830645192,0.0331199989140984,0.022427576035184686,0.18495958409968574,0.15857690061035953,2.86182053030752,3.236014692170341,0.14600627865100527,0.24661959760307256,-12.10352737587337,-11.893540096874313,0.4134556939877952,-0.49738322754028,2.6034301519721077,2.2126603854660587,0,0,0,1,0,0,0,0,0,0,0.0
10059_2006,0.0260007830645192,0.023402899093826517,0.022427576035184686,0.041937848219156935,0.15857690061035953,0.10868387165512136,3.236014692170341,3.6806370068637873,0.24661959760307256,0.19717926025181645,-11.893540096874313,-11.588040608441904,-0.49738322754028,0.3828986001393645,2.2126603854660587,2.5209170873110334,0,0,0,1,0,0,0,0,0,0,0.0
10107_2004,0.022521819517294237,0.035790829423852484,0.02634048408712665,0.021019109887212686,0.0805771430013508,0.09263940100740352,3.8689328295529455,3.683218269618036,0.09795488026633667,0.11587161505483325,-8.829560066172789,-8.798404664855868,0.1767313063197808,0.2487245795450141,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
