PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,gind_15,gind_20,gind_25,gind_30,gind_35,gind_40,gind_45,gind_50,gind_55,gind_60,y_t+2
10039_2009,0.005965681784421785,0.007860195818300787,0.9165506082470968,0.933428581147736,0.0522163238591929,0.04235376158831733,1.1301417805465876,0.8996858644406863,0.02973062704538904,0.06792729589681643,-12.230173430735938,-11.901631524164115,-0.2008911029128153,0.19758004859570666,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10039_2010,0.007860195818300787,0.008693043814453598,0.933428581147736,0.9295635454479246,0.04235376158831733,0.0710862987472292,0.8996858644406863,0.9985193527307415,0.06792729589681643,0.04300174173076897,-11.901631524164115,-11.933587716694285,0.19758004859570666,-0.11143759839411302,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10039_2011,0.008693043814453598,0.009838143872754362,0.9295635454479246,0.9090847005704932,0.0710862987472292,0.07867533259524813,0.9985193527307415,1.2616833657704412,0.04300174173076897,0.03050628840865427,-11.933587716694285,-11.70350882558794,-0.11143759839411302,0.1481955303609145,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10059_2009,0.0151565261030663,0.012059781700290456,0.043042034483620574,0.052742622687148966,0.03646122755843891,0.03493678391104019,4.614618596332138,3.8823894371522187,0.16424784022105698,0.17737452890596525,-11.076559666731416,-10.864415926483693,0.2642652166209881,0.2859780859610065,2.470638677990296,2.194999882314108,0,0,0,1,0,0,0,0,0,0,0.0
10059_2010,0.012059781700290456,0.025523120877408836,0.052742622687148966,0.08659990331456903,0.03493678391104019,0.025999674660398157,3.8823894371522187,4.047618805884986,0.17737452890596525,0.12343257763565885,-10.864415926483693,-10.81584127026356,0.2859780859610065,0.1766802988629974,2.194999882314108,2.4748563139344992,0,0,0,1,0,0,0,0,0,0,0.0
10059_2011,0.025523120877408836,0.02054005253535248,0.08659990331456903,0.10440153704468226,0.025999674660398157,0.025853699477822192,4.047618805884986,3.4274932319724365,0.12343257763565885,0.047414439801000616,-10.81584127026356,-11.189595713358832,0.1766802988629974,-0.38201886499460397,2.4748563139344992,2.2565411544926395,0,0,0,1,0,0,0,0,0,0,0.0
10107_2009,0.037420133070075016,0.03439527188067785,0.007559121005202617,0.006722087212895567,0.07244498368587543,0.06853446741167724,3.6430406120148935,4.055162642897352,0.04051826991502805,0.05732527222625251,-8.510924167200672,-8.085264487269674,0.11231133820046027,0.412793210948736,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10107_2010,0.03439527188067785,0.043996340229557535,0.006722087212895567,0.00648937866425402,0.06853446741167724,0.08481676023027156,4.055162642897352,3.66474087344378,0.05732527222625251,0.08321727401584557,-8.085264487269674,-8.265169211170162,0.412793210948736,-0.16283117775227138,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10107_2011,0.043996340229557535,0.051187886205061435,0.00648937866425402,0.007938188445151638,0.08481676023027156,0.06472673145323918,3.66474087344378,3.202363529612734,0.08321727401584557,0.0506668493730192,-8.265169211170162,-8.4529659944167,-0.16283117775227138,-0.15706706843979776,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10108_2009,-0.1459624919163613,-0.34265610466831714,0.2858805777107135,0.6632253060834525,0.12157792627721492,0.10135809164659833,82.82,23.9694,0.19238210560735586,0.29334748292603824,-11.953572811588788,-12.699483022646909,-0.7082822642301713,-0.5669331946176259,1.0043016091968684,-0.23572233352106986,0,0,0,0,1,0,0,0,0,0,0.0
10108_2010,-0.34265610466831714,0.0,0.6632253060834525,0.0,0.10135809164659833,0.0,23.9694,0.0,0.29334748292603824,0.0,-12.699483022646909,0.0,-0.5669331946176259,0.0,-0.23572233352106986,0.0,0,0,0,0,1,0,0,0,0,0,0.0
10108_2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0.0
