PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,y_t+2
10039_2008,0.00651315095013397,0.005965681784421785,0.8981326347043143,0.9165506082470968,0.03444109304148429,0.0522163238591929,1.3465649149578576,1.1301417805465876,0.029018350947804118,0.02973062704538904,-12.074839183016081,-12.230173430735938,-0.2275997116949241,-0.2008911029128153,2.7080502011022096,2.7080502011022096,0.0
10039_2009,0.005965681784421785,0.007860195818300787,0.9165506082470968,0.933428581147736,0.0522163238591929,0.04235376158831733,1.1301417805465876,0.8996858644406863,0.02973062704538904,0.06792729589681643,-12.230173430735938,-11.901631524164115,-0.2008911029128153,0.19758004859570666,2.7080502011022096,2.7080502011022096,0.0
10039_2010,0.007860195818300787,0.008693043814453598,0.933428581147736,0.9295635454479246,0.04235376158831733,0.0710862987472292,0.8996858644406863,0.9985193527307415,0.06792729589681643,0.04300174173076897,-11.901631524164115,-11.933587716694285,0.19758004859570666,-0.11143759839411302,2.7080502011022096,2.7080502011022096,0.0
10059_2008,0.017313605229474022,0.0151565261030663,0.05542625486272572,0.043042034483620574,0.06001770818324921,0.03646122755843891,4.252375801477223,4.614618596332138,0.20826814591549672,0.16424784022105698,-11.297362403162007,-11.076559666731416,-0.30467058649908685,0.2642652166209881,2.2353763433005955,2.470638677990296,0.0
10059_2009,0.0151565261030663,0.012059781700290456,0.043042034483620574,0.052742622687148966,0.03646122755843891,0.03493678391104019,4.614618596332138,3.8823894371522187,0.16424784022105698,0.17737452890596525,-11.076559666731416,-10.864415926483693,0.2642652166209881,0.2859780859610065,2.470638677990296,2.194999882314108,0.0
10059_2010,0.012059781700290456,0.025523120877408836,0.052742622687148966,0.08659990331456903,0.03493678391104019,0.025999674660398157,3.8823894371522187,4.047618805884986,0.17737452890596525,0.12343257763565885,-10.864415926483693,-10.81584127026356,0.2859780859610065,0.1766802988629974,2.194999882314108,2.4748563139344992,0.0
10107_2008,0.03604045280538794,0.037420133070075016,0.014820850682631757,0.007559121005202617,0.053480649562449814,0.07244498368587543,3.9561842834888727,3.6430406120148935,0.047377029386235836,0.04051826991502805,-8.670382191287345,-8.510924167200672,-0.12996555602531612,0.11231133820046027,2.7080502011022096,2.7080502011022096,0.0
10107_2009,0.037420133070075016,0.03439527188067785,0.007559121005202617,0.006722087212895567,0.07244498368587543,0.06853446741167724,3.6430406120148935,4.055162642897352,0.04051826991502805,0.05732527222625251,-8.510924167200672,-8.085264487269674,0.11231133820046027,0.412793210948736,2.7080502011022096,2.7080502011022096,0.0
10107_2010,0.03439527188067785,0.043996340229557535,0.006722087212895567,0.00648937866425402,0.06853446741167724,0.08481676023027156,4.055162642897352,3.66474087344378,0.05732527222625251,0.08321727401584557,-8.085264487269674,-8.265169211170162,0.412793210948736,-0.16283117775227138,2.7080502011022096,2.7080502011022096,0.0
10108_2008,-0.22750559285944236,-0.1459624919163613,0.1862815750755928,0.2858805777107135,0.11729344277743553,0.12157792627721492,15.819530383785713,82.82,0.17710641051635947,0.19238210560735586,-11.352879021794989,-11.953572811588788,-0.10880463900878648,-0.7082822642301713,1.6658182458702082,1.0043016091968684,0.0
