PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,y_t+2
10039_2012,0.009838143872754362,0.010519487564381931,0.9090847005704932,0.9113729248169729,0.07867533259524813,0.11315295258172225,1.2616833657704412,1.2069104347964472,0.03050628840865427,0.04991049045318825,-11.70350882558794,-11.626540216411131,0.1481955303609145,-0.019974422131748784,2.7080502011022096,2.7080502011022096,0.0
10039_2013,0.010519487564381931,0.010664654318350442,0.9113729248169729,0.8932029158721673,0.11315295258172225,0.08110513744243775,1.2069104347964472,1.3744763129124202,0.04991049045318825,0.044079364585055375,-11.626540216411131,-11.469441154507289,-0.019974422131748784,0.11411034183841788,2.7080502011022096,2.7080502011022096,0.0
10039_2014,0.010664654318350442,0.009414014722783987,0.8932029158721673,0.882347557171957,0.08110513744243775,0.08157123010637253,1.3744763129124202,1.5246015220724594,0.044079364585055375,0.058031829027732414,-11.469441154507289,-11.499930911130848,0.11411034183841788,-0.08768129352386798,2.7080502011022096,2.7080502011022096,0.0
10059_2012,0.02054005253535248,0.016379917704539563,0.10440153704468226,0.09246191023690352,0.025853699477822192,0.017842922613351332,3.4274932319724365,3.3204071068636627,0.047414439801000616,0.0635963369473854,-11.189595713358832,-11.184057062412826,-0.38201886499460397,0.07282811605384579,2.2565411544926395,2.265921108622454,0.0
10059_2013,0.016379917704539563,0.035782731330264425,0.09246191023690352,0.09038004826211804,0.017842922613351332,0.02932655880910995,3.3204071068636627,2.8764254880484503,0.0635963369473854,0.08079553567685306,-11.184057062412826,-11.398555303771715,0.07282811605384579,-0.1442520302194762,2.265921108622454,2.1679101896674444,0.0
10059_2014,0.035782731330264425,0.017699171543988472,0.09038004826211804,0.07351008622227677,0.02932655880910995,0.02070696662801697,2.8764254880484503,4.032559778840636,0.08079553567685306,0.14083391344873886,-11.398555303771715,-11.053233365748847,-0.1442520302194762,0.22430596816451315,2.1679101896674444,2.7080502011022096,0.0
10107_2012,0.051187886205061435,0.035890773314461236,0.007938188445151638,0.010082475080805536,0.06472673145323918,0.0450026487749927,3.202363529612734,3.699527584424881,0.0506668493730192,0.05138206520407581,-8.4529659944167,-8.416516573491316,-0.15706706843979776,0.014965283038237213,2.7080502011022096,2.7080502011022096,0.0
10107_2013,0.035890773314461236,0.04044507986544975,0.010082475080805536,0.016159885290090138,0.0450026487749927,0.0968491356142816,3.699527584424881,3.104231050131036,0.05138206520407581,0.051157804103318785,-8.416516573491316,-8.529314967115928,0.014965283038237213,-0.07975531597586777,2.7080502011022096,2.7080502011022096,0.0
10107_2014,0.04044507986544975,0.04354190608184042,0.016159885290090138,0.01568864069225755,0.0968491356142816,0.12878982582928106,3.104231050131036,2.7711200393690953,0.051157804103318785,0.05076833035120186,-8.529314967115928,-8.459918714089833,-0.07975531597586777,0.06813993901188736,2.7080502011022096,2.7080502011022096,0.0
10110_2012,0.03000337214838725,0.04208995745190633,0.5380591483310516,0.5667430901099547,0.03073241366292725,0.0620052852323312,4.0810497096266785,2.8430145573553376,0.1423304164721794,0.1598093173129637,-9.704965582557664,-9.815959796391198,1.0823065705178427,-0.033928970629944384,2.7080502011022096,2.7080502011022096,0.0
