PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,y_t+2
10022_2003,0.02491392801251956,-0.06799911435092143,0.08777107086966242,0.11367249151252967,0.0265414710485133,0.07413053104881287,2.6397575801488986,2.025429522948325,0.2348915802343195,0.2257750642994041,-10.807302682542886,-11.913018343615393,0.05752925227298208,-0.9853251104722884,1.308332819650179,-0.06187540371808752,0.0
10022_2004,-0.06799911435092143,-0.04492361803769227,0.11367249151252967,0.11063572890965404,0.07413053104881287,0.09902094598141636,2.025429522948325,2.3439359141094114,0.2257750642994041,0.17533737012102232,-11.913018343615393,-11.98448550713162,-0.9853251104722884,0.1087199592539166,-0.06187540371808752,0.10436001532424287,0.0
10022_2005,-0.04492361803769227,-0.1345760202081791,0.11063572890965404,0.14996443244341856,0.09902094598141636,0.06648955475226109,2.3439359141094114,1.6922930190347918,0.17533737012102232,0.13025774685148786,-11.98448550713162,-12.241939633187801,0.1087199592539166,-0.5209220715561954,0.10436001532424287,-0.07257069283483537,0.0
10039_2003,0.01268577784458439,0.013282412974651915,0.8790653256485789,0.8623084656058801,0.10501351213574506,0.08109601674205955,1.3847389544477202,1.5275989171271045,0.06704886085141352,0.051326521482122966,-12.277124017971806,-11.784684093342113,0.4677928838403989,0.4151805931090269,2.7080502011022096,2.7080502011022096,0.0
10039_2004,0.013282412974651915,0.01011328427301183,0.8623084656058801,0.8368695512886504,0.08109601674205955,0.04880028001368335,1.5275989171271045,1.8998184472787658,0.051326521482122966,0.0501679802137842,-11.784684093342113,-11.687774782578218,0.4151805931090269,0.05850428572790895,2.7080502011022096,2.7080502011022096,0.0
10039_2005,0.01011328427301183,0.009802604759447378,0.8368695512886504,0.8461613814401548,0.04880028001368335,0.031013529412358756,1.8998184472787658,1.8641348641299689,0.0501679802137842,0.034022537077478134,-11.687774782578218,-11.722805913846038,0.05850428572790895,-0.05566758176309153,2.7080502011022096,2.7080502011022096,0.0
10059_2003,0.03843272541847919,0.04788720043095348,0.09213152113012987,0.06905904313293161,0.21064029361217254,0.21619708605289198,2.172015350229832,2.147016631971581,0.10290851871735528,0.12118405949595043,-12.801536305751116,-12.516324336395288,0.3860947424200013,0.2206329559586664,1.9095425048844383,1.9526019943448851,0.0
10059_2004,0.04788720043095348,0.03770114630488045,0.06905904313293161,0.0331199989140984,0.21619708605289198,0.18495958409968574,2.147016631971581,2.86182053030752,0.12118405949595043,0.14600627865100527,-12.516324336395288,-12.10352737587337,0.2206329559586664,0.4134556939877952,1.9526019943448851,2.6034301519721077,0.0
10059_2005,0.03770114630488045,0.0260007830645192,0.0331199989140984,0.022427576035184686,0.18495958409968574,0.15857690061035953,2.86182053030752,3.236014692170341,0.14600627865100527,0.24661959760307256,-12.10352737587337,-11.893540096874313,0.4134556939877952,-0.49738322754028,2.6034301519721077,2.2126603854660587,0.0
10107_2003,0.024591792141750432,0.022521819517294237,0.027351100292183288,0.02634048408712665,0.07011820962796292,0.0805771430013508,4.571546912557546,3.8689328295529455,0.12131811703100742,0.09795488026633667,-8.83060498659715,-8.829560066172789,0.4649201082168902,0.1767313063197808,2.7080502011022096,2.7080502011022096,0.0
10107_2004,0.022521819517294237,0.035790829423852484,0.02634048408712665,0.021019109887212686,0.0805771430013508,0.09263940100740352,3.8689328295529455,3.683218269618036,0.09795488026633667,0.11587161505483325,-8.829560066172789,-8.798404664855868,0.1767313063197808,0.2487245795450141,2.7080502011022096,2.7080502011022096,0.0
10107_2005,0.035790829423852484,0.02914184725879544,0.021019109887212686,0.015435907041647712,0.09263940100740352,0.09723107302321006,3.683218269618036,4.004884378977175,0.11587161505483325,0.054246897956718505,-8.798404664855868,-8.856984574114252,0.2487245795450141,-0.0610303050471787,2.7080502011022096,2.7080502011022096,0.0
10108_2003,-0.09232402804113313,-0.691987084045848,0.07257530212219193,0.39211502144091065,0.1206333114120788,0.5864363082253367,3.1433469441162334,0.9346513727248824,0.2730267163814326,0.3445012305223385,-9.82144562323944,-11.770383486072555,0.3813270597791653,-1.6129962345942468,2.7080502011022096,1.2470322937863831,0.0
10108_2004,-0.691987084045848,-0.3161964252869756,0.39211502144091065,0.3047307901281374,0.5864363082253367,0.2479663825040186,0.9346513727248824,3.2462236360292214,0.3445012305223385,0.33256920230436704,-11.770383486072555,-11.554636378786745,-1.6129962345942468,-0.3418613556648528,1.2470322937863831,1.6900958154515549,0.0
10108_2005,-0.3161964252869756,-0.3016427075009526,0.3047307901281374,0.3823873201052799,0.2479663825040186,0.14108601664734605,3.2462236360292214,76.8262,0.33256920230436704,0.18810697255783865,-11.554636378786745,-11.893109085677292,-0.3418613556648528,-0.6800211076912537,1.6900958154515549,1.3912819026309295,0.0
10147_2003,0.13733609210415146,0.2733970320831943,0.8439640665230531,0.3806397570094731,0.02870155025217088,0.2552517417272213,0.7468734948258497,1.285103482306141,0.1719137702568573,0.2111244699503704,-12.27395136885227,-10.474477421847144,-0.20547264532202375,1.6002889348593818,0.3646431135879093,1.8640801308076809,0.0
10147_2004,0.2733970320831943,0.054661941030450564,0.3806397570094731,0.2893401106692589,0.2552517417272213,0.2776281246227389,1.285103482306141,1.6491779136178952,0.2111244699503704,0.12991369781204604,-10.474477421847144,-10.281469426376873,1.6002889348593818,0.2488082617377125,1.8640801308076809,2.2975725511705014,0.0
10147_2005,0.054661941030450564,0.04769859816651919,0.2893401106692589,0.11822755563008652,0.2776281246227389,0.1174584920857253,1.6491779136178952,2.2493448402906115,0.12991369781204604,0.15039835391318673,-10.281469426376873,-9.792744179515823,0.2488082617377125,0.394370612039425,2.2975725511705014,2.7080502011022096,0.0
10210_2003,-0.12207005710866355,-0.7600689206275805,0.07249662614566367,0.3576478470316133,0.09216547278357036,0.4706282292236585,3.2694991038815266,1.026518706817488,0.3298838050295552,0.3961413711834158,-9.170527825928456,-10.423162566270477,-0.5780622933949215,-1.6312804360891355,2.5817308344235403,1.0577902941478543,0.0
10210_2004,-0.7600689206275805,0.06281752039175073,0.3576478470316133,0.13585675071198727,0.4706282292236585,0.2609055324616625,1.026518706817488,2.4924523838903,0.3961413711834158,0.2054941545896399,-10.423162566270477,-9.671316324803414,-1.6312804360891355,0.9543641457466706,1.0577902941478543,2.039920783517553,0.0
10210_2005,0.06281752039175073,-0.030139298579189164,0.13585675071198727,0.13298616559369894,0.2609055324616625,0.4022745400143763,2.4924523838903,1.7357911100148051,0.2054941545896399,0.13039002523977325,-9.671316324803414,-10.089027124315669,0.9543641457466706,-0.37275982054193535,2.039920783517553,1.7065646231648233,0.0
10218_2003,0.01161412550430375,0.009978637485090834,0.8408498220202857,0.8666451674515457,0.05590249008440571,0.0439517469283319,1.5879766159450002,1.3665651517753057,0.038869518452092036,0.10015878824592916,-10.445271156312556,-9.988961662556786,0.2246929304966759,0.23292762103316275,2.7080502011022096,2.7080502011022096,0.0
10218_2004,0.009978637485090834,0.00849611021998149,0.8666451674515457,0.8544635209149113,0.0439517469283319,0.03625984902124632,1.3665651517753057,1.4722241332610924,0.10015878824592916,0.038398905108686425,-9.988961662556786,-9.988357648985016,0.23292762103316275,-0.17489550965583686,2.7080502011022096,2.7080502011022096,0.0
10218_2005,0.00849611021998149,0.008643406847696536,0.8544635209149113,0.8455218565253827,0.03625984902124632,0.023305841122127042,1.4722241332610924,1.5657821019703124,0.038398905108686425,0.04689779956526737,-9.988357648985016,-9.97634710334752,-0.17489550965583686,0.060897001850276224,2.7080502011022096,2.7080502011022096,0.0
10224_2003,-0.00396560238938567,0.03388986004196325,0.1666098166457932,0.20480190334756185,0.193702018796034,0.2326717768596388,3.3245759426224644,2.685267882036062,0.28746568150465845,0.26230578465165155,-7.724882406103543,-7.221215962300977,0.4367909404950541,-0.4145534793086999,2.7080502011022096,2.7080502011022096,0.0
10224_2004,0.03388986004196325,0.022503859979199143,0.20480190334756185,0.12327852019774548,0.2326717768596388,0.1463544808213369,2.685267882036062,3.9804148191146775,0.26230578465165155,0.2367569683142474,-7.221215962300977,-6.867735928039827,-0.4145534793086999,-0.5593613035857751,2.7080502011022096,2.7080502011022096,0.0
10224_2005,0.022503859979199143,0.031420103358713695,0.12327852019774548,0.11185802690583432,0.1463544808213369,0.18791309102096146,3.9804148191146775,3.124541180564373,0.2367569683142474,0.2840755024468267,-6.867735928039827,-6.428244746537612,-0.5593613035857751,-0.472170726509068,2.7080502011022096,2.7080502011022096,0.0
